filename,format,generation,serial_hex,valid
G.Skill F4-3600C19-16GSXWB.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C19-8GTZRB.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3600C19-8GVRB.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3800C14-16GTZN.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C14-8GTES.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C15-8GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C16-16GTZNA.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C16-16GTZRA.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C16-8GTRSA.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C17-8GTZR.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C18-16GTRS (1).thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-4000C18-16GTRS (3).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C18-16GTRS.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C18-16GTZN.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C18-16GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C18-32GTZR.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C18-8GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4000C19-16GTZSW.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-4266C16-16GTZR.thp,TH43,DDR4,0x00000000,yes
